country_name,sex,age_group,2024
Somalia,Male,25+,13.491
South Africa,Female,25+,27.594
South Africa,Male,25+,23.88
South America,Female,25+,6.605
South America,Male,25+,4.572
South Sudan,Female,25+,10.832
South Sudan,Male,25+,6.844
Spain,Female,25+,12.945
Spain,Male,25+,9.238
Sri Lanka,Female,25+,6.714
Sri Lanka,Male,25+,2.329
Sudan,Female,25+,30.532
Sudan,Male,25+,11.301
Suriname,Female,25+,6.733
Suriname,Male,25+,3.13
Sweden,Female,25+,6.544
Sweden,Male,25+,6.526
Switzerland,Female,25+,3.783
Switzerland,Male,25+,3.184
Syrian Arab Republic,Female,25+,18.682
Syrian Arab Republic,Male,25+,5.57
"Taiwan, China",Female,25+,2.758
"Taiwan, China",Male,25+,3.191
Tajikistan,Female,25+,3.762
Tajikistan,Male,25+,5.779
"Tanzania, United Republic of",Female,25+,3.057
"Tanzania, United Republic of",Male,25+,1.254
Thailand,Female,25+,0.425
Thailand,Male,25+,0.412
Timor-Leste,Female,25+,1.49
Timor-Leste,Male,25+,1.025
Togo,Female,25+,1.94
Togo,Male,25+,3.597
Tonga,Female,25+,1.675
Tonga,Male,25+,1.358
Trinidad and Tobago,Female,25+,3.163
Trinidad and Tobago,Male,25+,2.031
Tunisia,Female,25+,24.255
Tunisia,Male,25+,11.108
Turkmenistan,Female,25+,1.971
Turkmenistan,Male,25+,4.926
Turkey,Female,25+,10.526
Turkey,Male,25+,7.223
Uganda,Female,25+,2.514
Uganda,Male,25+,1.753
Ukraine,Female,25+,
Ukraine,Male,25+,
United Arab Emirates,Female,25+,5.56
United Arab Emirates,Male,25+,1.804
United Kingdom,Female,25+,3.809
United Kingdom,Male,25+,3.558
United States of America,Female,25+,3.098
United States of America,Male,25+,3.257
United States Virgin Islands,Female,25+,11.909
United States Virgin Islands,Male,25+,9.29
Uruguay,Female,25+,7.16
Uruguay,Male,25+,4.657
Uzbekistan,Female,25+,4.717
Uzbekistan,Male,25+,2.594
Vanuatu,Female,25+,4.507
Vanuatu,Male,25+,2.527
Venezuela,Female,25+,5.156
Venezuela,Male,25+,4.263
Vietnam,Female,25+,0.881
Vietnam,Male,25+,1.223
Yemen,Female,25+,26.319
Yemen,Male,25+,11.904
Zambia,Female,25+,3.901
Zambia,Male,25+,2.621
Zimbabwe,Female,25+,7.528
Zimbabwe,Male,25+,6.703
